,Titulo,action,adventure,mistery,comedy,family,sciFi,fantasy,animation,horror,thriller,drama,biography,music,western,war,crime,romance,sport,musical
0,Guardians of the Galaxy,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Prometheus,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Split,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3,Sing,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Suicide Squad,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,The Great Wall,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,La La Land,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7,Mindhorn,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,The Lost City of Z,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Passengers,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10,Fantastic Beasts and Where to Find Them,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Hidden Figures,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
12,Rogue One,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Moana,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,Colossal,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,The Secret Life of Pets,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Hacksaw Ridge,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
17,Jason Bourne,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Lion,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
19,Arrival,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Gold,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,Manchester by the Sea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Hounds of Love,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
23,Trolls,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
